ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
UZB,Uzbekistan,total,Drinking water,2019,58.83942,19406249.71,On premises
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2019,30.27568,8633361.873,Available
VGB,British Virgin Islands,total,Drinking water,2019,97.99269,29430.14559,On premises
VIR,United States Virgin Islands,total,Drinking water,2019,97.93599,102420.4827,On premises
VNM,Viet Nam,total,Drinking water,2019,96.20509,92801463.16,On premises
VUT,Vanuatu,total,Drinking water,2019,50.34498,150975.5471,On premises
WLF,Wallis and Futuna Islands,total,Drinking water,2019,98.23208,11233.8205,On premises
WSM,Samoa,total,Drinking water,2019,75.2469,148306.3728,Available
YEM,Yemen,total,Drinking water,2019,55.56852,16204848.26,Available
ZAF,South Africa,total,Drinking water,2019,70.98569,41567989.36,Available
ZMB,Zambia,total,Drinking water,2019,51.41706,9183618.745,Available
ZWE,Zimbabwe,total,Drinking water,2019,59.60446,8729354.449,Available
