Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mozambique,MOZ,243.1,169.7,100.4,96.3,92.3,89.3,85.4,81.8,79.4,77,74.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Myanmar,MMR,114.6,89,60.7,58.2,55.8,53.7,51.8,49.9,48.1,46.4,44.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Namibia,NAM,72.3,75.4,50.4,52.2,50.1,48.1,47.8,46.3,44.5,43.3,42.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nauru,NRU,60.3,41.5,38.4,37.7,36.8,35.8,34.9,33.9,32.9,31.9,30.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nepal,NPL,139.8,81,44.2,42,39.9,37.9,36.2,34.6,33.2,31.9,30.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Netherlands,NLD,8.3,6.2,4.3,4.2,4.1,4.1,4,4,4,4,4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,New Zealand,NZL,11.2,7.4,6,5.9,5.8,5.6,5.5,5.3,5.1,4.9,4.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nicaragua,NIC,66.5,38.5,22.9,22,21.1,20.3,19.4,18.7,18,17.3,16.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Niger,NER,328.6,224.8,114.8,108.5,103,98.5,94,90.2,86.6,83.4,80.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Nigeria,NGA,209.5,183.1,133.6,131.7,129.9,128.5,126.8,125,122.8,120,117.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,North Macedonia,MKD,35.7,15.8,10,10.5,11.4,12.5,13,12,9.9,7.8,6.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Norway,NOR,8.7,4.9,3.1,3,2.9,2.8,2.7,2.6,2.6,2.5,2.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Oman,OMN,38.7,16.4,11.6,11.4,11.3,11.2,11.2,11.3,11.3,11.4,11.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Pakistan,PAK,139.5,107.5,85,82.9,80.6,78.3,76.1,73.8,71.6,69.4,67.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Palau,PLW,35.4,28.8,22.3,21.6,21,20.4,19.7,19.1,18.5,17.9,17.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Panama,PAN,30.7,25.9,19.3,18.7,18.1,17.5,16.9,16.4,15.9,15.3,14.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Papua New Guinea,PNG,84.7,70.6,56,54.6,53.2,51.8,50.5,49,47.6,46.3,44.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Paraguay,PRY,45.3,33.7,25.2,24.4,23.6,22.9,22.2,21.5,20.8,20.1,19.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Peru,PER,80.3,38.5,18.9,18,17.2,16.4,15.7,15,14.3,13.7,13.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Philippines,PHL,56.6,37.7,31.3,31,30.6,30.2,29.8,29.3,28.7,28,27.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Poland,POL,17.4,9.3,5.7,5.4,5.2,5,4.8,4.7,4.6,4.5,4.4,..
